room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
6390871,33318104,Private room,,Shirley West,7,2.0,6,1.0,411.0,1.0,-43.50692,172.651727,2016-08-19 21:49:27.981262
2878215,14711297,Entire home/apt,,Avon Loop,83,4.5,4,2.0,102.0,1.0,-43.531338,172.64961,2016-08-19 21:49:11.829498
11439697,53121858,Private room,,Harewood,23,5.0,2,1.0,44.0,1.0,-43.490688,172.572705,2016-08-19 21:48:56.440548
14099009,56111966,Entire home/apt,,Avon Loop,0,,2,2.0,64.0,7.0,-43.520899,172.629796,2016-08-19 21:48:54.990926
9778492,8014835,Entire home/apt,,Moncks Bay,39,5.0,8,4.0,225.0,1.0,-43.572356,172.745662,2016-08-19 21:48:52.334252
13379778,76042009,Entire home/apt,,Strowan,1,,3,1.0,67.0,1.0,-43.506289,172.602953,2016-08-19 21:48:31.259109
3783080,19412314,Entire home/apt,,Addington,37,5.0,2,0.0,98.0,3.0,-43.545526,172.625849,2016-08-19 21:48:22.161323
916829,4922579,Private room,,Sawyers Arms,1,,3,1.0,37.0,1.0,-43.479564,172.601102,2016-08-19 21:48:19.258452
5865021,29973513,Private room,,Addington,46,4.5,2,1.0,45.0,2.0,-43.544737,172.625298,2016-08-19 21:48:16.110341
6734351,35262806,Entire home/apt,,St Albans West,20,5.0,3,2.0,105.0,1.0,-43.517808,172.630105,2016-08-19 21:47:51.082521
13335850,13938410,Entire home/apt,,Cashmere East,1,,3,1.0,94.0,1.0,-43.571624,172.630812,2016-08-19 21:47:46.100579
12474833,59547954,Private room,,Redwood South,1,,1,1.0,18.0,1.0,-43.486677,172.626165,2016-08-19 21:47:43.840867
11184474,58218689,Entire home/apt,,Yaldhurst,4,5.0,3,2.0,98.0,1.0,-43.516291,172.505498,2016-08-19 21:47:37.070681
14521533,36548894,Private room,,St Albans East,0,,2,1.0,30.0,1.0,-43.517833,172.641168,2016-08-19 21:47:34.272475
11829344,23563045,Private room,,Sydenham,6,5.0,1,1.0,30.0,1.0,-43.5506,172.641209,2016-08-19 21:47:23.548714
13436636,28958504,Private room,,Avon Loop,5,4.5,2,1.0,41.0,1.0,-43.522014,172.641245,2016-08-19 21:47:15.543173
9465328,5057248,Entire home/apt,,Phillipstown,41,4.5,2,1.0,57.0,1.0,-43.534451,172.658867,2016-08-19 21:47:13.001591
5872982,30495712,Entire home/apt,,Cashmere East,52,5.0,4,2.0,60.0,1.0,-43.572982,172.648101,2016-08-19 21:47:08.660101
8411596,26138585,Private room,,Styx,8,5.0,5,1.0,67.0,2.0,-43.435803,172.695414,2016-08-19 21:46:34.557842
11975904,63996108,Entire home/apt,,Russley,2,,4,2.0,108.0,1.0,-43.494909,172.572121,2016-08-19 21:46:27.404804
10657232,48621200,Private room,,Barrington North,5,5.0,2,1.0,34.0,1.0,-43.555799,172.598186,2016-08-19 21:46:08.645097
12525508,67851671,Private room,,Wairarapa,19,5.0,2,1.0,31.0,1.0,-43.503963,172.578533,2016-08-19 21:45:55.799453
5670866,29400522,Private room,,Woolston West,93,5.0,2,1.0,68.0,1.0,-43.539869,172.673377,2016-08-19 21:45:47.893282
9978135,51273054,Private room,,Avonside,4,4.5,1,1.0,20.0,3.0,-43.523902,172.671558,2016-08-19 21:45:42.730537
12116005,64994688,Private room,,Addington,8,4.0,2,1.0,36.0,1.0,-43.544738,172.625312,2016-08-19 21:45:37.628465
11171045,58129786,Private room,,St Albans East,9,5.0,2,1.0,39.0,1.0,-43.519028,172.638066,2016-08-19 21:45:36.301670
10951171,56792210,Private room,,Redwood North,0,,2,1.0,30.0,1.0,-43.470482,172.625536,2016-08-19 21:45:24.868029
6417864,29973513,Private room,,St Albans West,39,4.5,3,1.0,33.0,4.0,-43.513028,172.632294,2016-08-19 21:45:21.442768
5040922,16256554,Private room,,Hornby South,79,4.5,2,1.0,37.0,1.0,-43.549243,172.536711,2016-08-19 21:45:20.896723
9929202,51040571,Entire home/apt,,Beckenham,10,5.0,4,2.0,111.0,,-43.562964,172.645329,2016-08-19 21:45:18.152895
11976730,64000316,Entire home/apt,,Moncks Bay,4,5.0,2,2.0,82.0,2.0,-43.55837,172.737921,2016-08-19 21:45:12.818580
12787676,69611975,Private room,,Bishopdale North,5,4.5,1,1.0,26.0,1.0,-43.478491,172.581297,2016-08-19 21:45:11.613536
12527841,54012179,Entire home/apt,,St Albans East,1,,3,2.0,68.0,2.0,-43.510651,172.638245,2016-08-19 21:45:08.734896
11719192,62311039,Private room,,Belfast South,1,,2,1.0,48.0,1.0,-43.459512,172.620436,2016-08-19 21:45:07.922568
10210531,52462527,Entire home/apt,,Hillmorton,53,5.0,6,3.0,64.0,2.0,-43.562978,172.593662,2016-08-19 21:45:06.379669
8805481,46136254,Entire home/apt,,North Beach,32,4.0,5,3.0,90.0,1.0,-43.490117,172.721517,2016-08-19 21:44:52.020219
5582189,28943709,Private room,,Papanui,0,,1,1.0,60.0,1.0,-43.50024,172.60952,2016-08-19 21:44:51.764606
13661281,69686464,Entire home/apt,,Sydenham,0,,4,2.0,60.0,4.0,-43.552526,172.639576,2016-08-19 21:44:46.837454
5051101,26079744,Entire home/apt,,Richmond South,42,4.5,4,2.0,75.0,2.0,-43.518978,172.652922,2016-08-19 21:44:43.450328
2419226,24205506,Entire home/apt,,Riccarton,18,4.0,12,5.0,142.0,2.0,-43.533441,172.602558,2016-08-19 21:44:40.171700
8870042,30066593,Private room,,Redwood South,69,5.0,2,1.0,53.0,1.0,-43.481917,172.624769,2016-08-19 21:44:35.522569
13672725,24205506,Entire home/apt,,Merivale,0,,8,4.0,172.0,,-43.522212,172.621538,2016-08-19 21:44:33.669494
14132150,78743617,Private room,,Riccarton West,3,5.0,1,1.0,23.0,1.0,-43.536509,172.595018,2016-08-19 21:44:31.501567
13563619,76444642,Entire home/apt,,Wigram,13,5.0,4,2.0,81.0,1.0,-43.5529,172.553948,2016-08-19 21:44:24.379874
12957693,28077380,Private room,,Riccarton,0,,2,1.0,53.0,1.0,-43.533198,172.611936,2016-08-19 21:44:22.356908
11168624,18372364,Entire home/apt,,Avon Loop,18,5.0,2,1.0,87.0,2.0,-43.528285,172.643099,2016-08-19 21:44:20.618933
10946995,41662155,Private room,,Merivale,8,5.0,2,1.0,57.0,1.0,-43.518855,172.621836,2016-08-19 21:44:19.636547
4925731,25369471,Entire home/apt,,Port Levy,18,4.5,2,1.0,112.0,1.0,-43.624139,172.781363,2016-08-19 21:44:16.897132
7733025,2560769,Entire home/apt,,Northcote,0,,6,3.0,98.0,1.0,-43.485729,172.610417,2016-08-19 21:44:07.058702
10342831,53230965,Private room,,St Martins,35,5.0,2,1.0,40.0,2.0,-43.563326,172.656161,2016-08-19 21:44:05.439964
12290218,11372856,Private room,,Aorangi,1,,2,1.0,37.0,1.0,-43.501228,172.603047,2016-08-19 21:43:39.127165
9700667,20309792,Entire home/apt,,Cashmere East,16,5.0,2,1.0,97.0,1.0,-43.576848,172.631808,2016-08-19 21:43:36.798440
5595594,7752790,Entire home/apt,,Opawa,6,5.0,4,2.0,82.0,2.0,-43.561816,172.667399,2016-08-19 21:43:36.762119
10042536,46574131,Entire home/apt,,Sumner,10,4.5,8,4.0,263.0,3.0,-43.574014,172.768018,2016-08-19 21:43:27.758507
11263225,50087064,Private room,,Jellie Park,14,4.5,2,1.0,32.0,1.0,-43.512968,172.579615,2016-08-19 21:43:24.150559
6252865,32479334,Private room,,Woolston West,0,,1,1.0,44.0,1.0,-43.538432,172.670379,2016-08-19 21:43:17.362488
6439353,1709422,Private room,,Northcote,2,,2,1.0,48.0,1.0,-43.489427,172.617326,2016-08-19 21:43:16.656749
10479074,54012179,Entire home/apt,,Rutland,6,4.0,2,1.0,68.0,2.0,-43.501631,172.629912,2016-08-19 21:43:15.300509
13942041,21771443,Private room,,Avon Loop,0,,2,1.0,34.0,7.0,-43.524667,172.64283,2016-08-19 21:43:12.808007
14202491,86175216,Entire home/apt,,Mt Pleasant,0,,4,3.0,52.0,7.0,-43.561237,172.724247,2016-08-19 21:43:12.441710
10732432,3705841,Private room,,Riccarton,7,4.5,2,1.0,41.0,1.0,-43.529679,172.606295,2016-08-19 21:43:05.961210
772797,4086591,Private room,,Papanui,137,5.0,4,1.0,63.0,1.0,-43.502269,172.614812,2016-08-19 21:43:02.466554
8506656,33707074,Entire home/apt,,Ilam,2,,4,2.0,121.0,2.0,-43.521746,172.564852,2016-08-19 21:42:50.165078
10342724,53230978,Entire home/apt,,Avon Loop,5,4.5,5,2.0,92.0,2.0,-43.525794,172.640672,2016-08-19 21:42:47.971206
10044950,6353005,Entire home/apt,,Avon Loop,4,4.5,4,2.0,135.0,3.0,-43.521651,172.644264,2016-08-19 21:42:47.744539
13322117,23441831,Entire home/apt,,Rutland,2,,6,3.0,135.0,3.0,-43.508617,172.627909,2016-08-19 21:42:41.612454
13691612,38205776,Private room,,Avonhead West,0,,2,1.0,45.0,1.0,-43.52205,172.543433,2016-08-19 21:42:33.172186
2009003,10339399,Entire home/apt,,Lyttelton,64,5.0,2,1.0,131.0,2.0,-43.6031,172.693944,2016-08-19 21:42:27.623231
9499473,9431529,Private room,,Prestons,1,,4,1.0,75.0,1.0,-43.464283,172.664729,2016-08-19 21:42:23.564600
11929642,15988718,Entire home/apt,,Cathedral Square,5,5.0,2,0.0,42.0,1.0,-43.527715,172.642212,2016-08-19 21:42:23.497011
12368829,65282801,Private room,,Strowan,3,5.0,4,1.0,57.0,1.0,-43.505694,172.601709,2016-08-19 21:42:21.241225
13301807,26446524,Private room,,Merivale,8,4.5,2,1.0,34.0,1.0,-43.513926,172.617198,2016-08-19 21:42:16.581962
11287955,36407990,Entire home/apt,,New Brighton,5,5.0,5,3.0,109.0,2.0,-43.517105,172.732339,2016-08-19 21:42:11.026702
13999693,83641261,Private room,,Wainoni,0,,2,1.0,34.0,1.0,-43.511419,172.694204,2016-08-19 21:42:09.073833
10619138,54012179,Entire home/apt,,St Albans East,1,,5,2.0,90.0,2.0,-43.509405,172.63773,2016-08-19 21:42:06.797874
12210753,11372856,Private room,,Aorangi,10,5.0,2,1.0,30.0,1.0,-43.501148,172.603294,2016-08-19 21:42:03.480150
14019926,40666448,Private room,,Hawthornden,0,,2,1.0,46.0,1.0,-43.512371,172.545511,2016-08-19 21:42:03.220590
6853240,35677409,Entire home/apt,,Moncks Bay,27,4.5,4,1.0,109.0,2.0,-43.567498,172.730554,2016-08-19 21:41:56.381405
2818482,14300208,Private room,,Shirley West,73,5.0,2,1.0,37.0,1.0,-43.497283,172.643685,2016-08-19 21:41:56.174578
10633726,54893141,Private room,,Jellie Park,5,4.0,2,1.0,57.0,1.0,-43.511709,172.577297,2016-08-19 21:41:50.910619
13713121,30430129,Private room,,St Albans West,0,,2,1.0,41.0,1.0,-43.510321,172.630262,2016-08-19 21:41:47.704617
5040124,26021220,Entire home/apt,,Somerfield,69,5.0,7,3.0,112.0,,-43.55621,172.629582,2016-08-19 21:41:44.636907
7270471,23363045,Private room,,Avon Loop,4,5.0,2,1.0,41.0,4.0,-43.520976,172.638995,2016-08-19 21:41:40.086639
7410479,37953447,Private room,,Rawhiti,1,,2,1.0,75.0,1.0,-43.501032,172.713827,2016-08-19 21:41:33.348476
10502299,10054770,Entire home/apt,,Moncks Bay,6,5.0,2,0.0,82.0,1.0,-43.575173,172.752803,2016-08-19 21:41:23.290276
